"Time","Value"
2025-11-20 03:08:00,1
2025-11-20 03:10:00,1
2025-11-20 03:12:00,1
2025-11-20 03:14:00,1
2025-11-20 03:16:00,1
2025-11-20 03:18:00,1
2025-11-20 03:20:00,1
2025-11-20 03:22:00,1
2025-11-20 03:24:00,1
2025-11-20 03:26:00,1
2025-11-20 03:28:00,1
2025-11-20 03:30:00,1
2025-11-20 03:32:00,1
2025-11-20 03:34:00,1
2025-11-20 03:36:00,1
2025-11-20 03:38:00,1
2025-11-20 03:40:00,1
2025-11-20 03:42:00,1
2025-11-20 03:44:00,1
2025-11-20 03:46:00,1
2025-11-20 03:48:00,1
2025-11-20 03:50:00,1
2025-11-20 03:52:00,1
2025-11-20 03:54:00,1
2025-11-20 03:56:00,1
2025-11-20 03:58:00,1
2025-11-20 04:00:00,1
2025-11-20 04:02:00,3
2025-11-20 04:04:00,8
2025-11-20 04:06:00,8
2025-11-20 04:08:00,8
2025-11-20 04:10:00,10
2025-11-20 04:12:00,13
2025-11-20 04:14:00,16
2025-11-20 04:16:00,20
2025-11-20 04:18:00,20
2025-11-20 04:20:00,23
2025-11-20 04:22:00,28
2025-11-20 04:24:00,28
2025-11-20 04:26:00,32
2025-11-20 04:28:00,32
2025-11-20 04:30:00,37
2025-11-20 04:32:00,37
2025-11-20 04:34:00,37
2025-11-20 04:36:00,37
2025-11-20 04:38:00,37
2025-11-20 04:40:00,37
2025-11-20 04:42:00,37
2025-11-20 04:44:00,37
2025-11-20 04:46:00,37
2025-11-20 04:48:00,37
2025-11-20 04:50:00,37
2025-11-20 04:52:00,37
2025-11-20 04:54:00,120
2025-11-20 04:56:00,130
2025-11-20 04:58:00,139
2025-11-20 05:00:00,149
2025-11-20 05:02:00,151
2025-11-20 05:04:00,153
2025-11-20 05:06:00,169
2025-11-20 05:08:00,279
2025-11-20 05:10:00,388
2025-11-20 05:12:00,497
2025-11-20 05:14:00,601
2025-11-20 05:16:00,608
2025-11-20 05:18:00,610
2025-11-20 05:20:00,610
2025-11-20 05:22:00,610
2025-11-20 05:24:00,610
2025-11-20 05:26:00,610
2025-11-20 05:28:00,610
2025-11-20 05:30:00,632
2025-11-20 05:32:00,647
2025-11-20 05:34:00,654
2025-11-20 05:36:00,657
2025-11-20 05:38:00,600
2025-11-20 05:40:00,602
2025-11-20 05:42:00,604
2025-11-20 05:44:00,608
2025-11-20 05:46:00,658
2025-11-20 05:48:00,692
2025-11-20 05:50:00,740
2025-11-20 05:52:00,813
2025-11-20 05:54:00,861
2025-11-20 05:56:00,900
2025-11-20 05:58:00,911
2025-11-20 06:00:00,911
2025-11-20 06:02:00,919
2025-11-20 06:04:00,980
2025-11-20 06:06:00,1056
