"Time","Average ","STDEV"
2025-11-20 03:05:00,9.68%,2.55%
2025-11-20 03:10:00,10.3%,2.65%
2025-11-20 03:15:00,10.1%,2.68%
2025-11-20 03:20:00,10.4%,2.74%
2025-11-20 03:25:00,11.1%,2.62%
2025-11-20 03:30:00,11.4%,2.63%
2025-11-20 03:35:00,11.8%,2.70%
2025-11-20 03:40:00,11.8%,3.16%
2025-11-20 03:45:00,12.0%,2.71%
2025-11-20 03:50:00,12.2%,2.65%
2025-11-20 03:55:00,13.1%,2.72%
2025-11-20 04:00:00,15.8%,3.93%
2025-11-20 04:05:00,16.5%,3.69%
2025-11-20 04:10:00,24.1%,4.29%
2025-11-20 04:15:00,31.6%,6.29%
2025-11-20 04:20:00,39.0%,7.93%
2025-11-20 04:25:00,45.8%,12.5%
2025-11-20 04:30:00,52.5%,12.4%
2025-11-20 04:35:00,58.5%,14.1%
2025-11-20 04:40:00,64.4%,17.1%
2025-11-20 04:45:00,71.6%,18.5%
2025-11-20 04:50:00,79.1%,11.1%
2025-11-20 04:55:00,83.6%,8.82%
2025-11-20 05:00:00,82.5%,7.75%
2025-11-20 05:05:00,84.0%,7.84%
2025-11-20 05:10:00,83.9%,8.24%
2025-11-20 05:15:00,83.7%,14.6%
2025-11-20 05:20:00,84.5%,14.3%
2025-11-20 05:25:00,84.4%,13.3%
2025-11-20 05:30:00,83.1%,14.2%
2025-11-20 05:35:00,82.8%,14.4%
2025-11-20 05:40:00,83.4%,10.2%
2025-11-20 05:45:00,83.2%,12.0%
2025-11-20 05:50:00,83.6%,10.9%
2025-11-20 05:55:00,82.7%,12.0%
2025-11-20 06:00:00,83.7%,8.41%
2025-11-20 06:05:00,83.0%,10.4%
2025-11-20 06:10:00,82.1%,11.3%
2025-11-20 06:15:00,82.8%,11.8%
2025-11-20 06:20:00,82.2%,10.4%
2025-11-20 06:25:00,81.9%,10.8%
2025-11-20 06:30:00,83.1%,10.7%
2025-11-20 06:35:00,83.0%,10.1%
2025-11-20 06:40:00,83.1%,11.9%
2025-11-20 06:45:00,83.4%,11.2%
2025-11-20 06:50:00,83.7%,8.86%
2025-11-20 06:55:00,81.9%,11.1%
2025-11-20 07:00:00,82.5%,12.1%
2025-11-20 07:05:00,84.1%,8.11%
2025-11-20 07:10:00,83.5%,12.2%
2025-11-20 07:15:00,82.9%,10.5%
2025-11-20 07:20:00,83.0%,11.4%
2025-11-20 07:25:00,84.0%,8.62%
2025-11-20 07:30:00,82.9%,11.6%
2025-11-20 07:35:00,82.7%,11.2%
2025-11-20 07:40:00,83.1%,10.3%
2025-11-20 07:45:00,83.6%,11.5%
2025-11-20 07:50:00,82.0%,10.2%
2025-11-20 07:55:00,83.6%,9.74%
2025-11-20 08:00:00,84.5%,10.7%
2025-11-20 08:05:00,82.5%,10.9%
2025-11-20 08:10:00,83.7%,10.7%
2025-11-20 08:15:00,83.5%,10.4%
2025-11-20 08:20:00,83.6%,12.2%
2025-11-20 08:25:00,82.9%,11.6%
2025-11-20 08:30:00,82.4%,12.3%
2025-11-20 08:35:00,83.9%,8.33%
2025-11-20 08:40:00,84.4%,11.4%
2025-11-20 08:45:00,82.7%,11.0%
2025-11-20 08:50:00,84.1%,8.29%
